DateTime,SpotPrice,LowerRange,HigherRange,CEAdjustment,PEAdjustment,AdjustmentValue,CEDifference,PEDifference,Source
2025-09-10 12:59:59.946957+05:30,24974.0,24448.0,25504.0,24797.333333333332,25150.666666666668,176.66666666666666,349.3333333333321,353.3333333333321,Manual Entry
2025-09-10 13:59:05.307487+05:30,24974.0,24448.0,25504.0,24797.333333333332,25150.666666666668,176.66666666666666,349.3333333333321,353.3333333333321,Manual Entry
2025-09-10 14:02:13.186453+05:30,24974.0,24448.0,25504.0,24797.333333333332,25150.666666666668,176.66666666666666,349.3333333333321,353.3333333333321,Manual Entry
2025-09-10 14:17:37.918735+05:30,24974.0,24448.0,25504.0,24797.333333333332,25150.666666666668,176.66666666666666,349.3333333333321,353.3333333333321,Manual Entry
2025-09-10 14:20:22.544133+05:30,24974.0,24448.0,25504.0,24797.333333333332,25150.666666666668,176.66666666666666,349.3333333333321,353.3333333333321,Manual Entry
2025-09-10 14:22:38.621779+05:30,24974.0,24448.0,25504.0,24797.333333333332,25150.666666666668,176.66666666666666,349.3333333333321,353.3333333333321,Manual Entry
2025-09-10 14:27:15.105951+05:30,24974.0,24448.0,25504.0,24797.333333333332,25150.666666666668,176.66666666666666,349.3333333333321,353.3333333333321,Manual Entry
2025-09-10 14:36:14.762820+05:30,24974.0,24448.0,25504.0,24797.333333333332,25150.666666666668,176.66666666666666,349.3333333333321,353.3333333333321,Manual Entry
2025-09-10 14:41:39.779273+05:30,24974.0,24448.0,25504.0,24797.333333333332,25150.666666666668,176.66666666666666,349.3333333333321,353.3333333333321,Manual Entry
2025-09-10 14:48:00.213272+05:30,24974.0,24448.0,25504.0,24797.333333333332,25150.666666666668,176.66666666666666,349.3333333333321,353.3333333333321,Manual Entry
2025-09-10 14:52:09.456074+05:30,24974.0,24448.0,25504.0,24797.333333333332,25150.666666666668,176.66666666666666,349.3333333333321,353.3333333333321,Manual Entry
2025-09-10 14:55:53.981103+05:30,24974.0,24448.0,25504.0,24797.333333333332,25150.666666666668,176.66666666666666,349.3333333333321,353.3333333333321,Manual Entry
2025-09-10 23:39:02.911352+05:30,24974.0,24448.0,25504.0,24797.333333333332,25150.666666666668,176.66666666666666,349.3333333333321,353.3333333333321,Manual Entry
2025-09-11 09:26:41.708010+05:30,24974.0,24448.0,25504.0,24797.333333333332,25150.666666666668,176.66666666666666,349.3333333333321,353.3333333333321,Manual Entry
2025-09-11 09:54:16.427890+05:30,24974.0,24448.0,25504.0,24797.333333333332,25150.666666666668,176.66666666666666,349.3333333333321,353.3333333333321,Manual Entry
